Unnamed: 0	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
30	高匿代理服务	117.93.135.211:53281	中国 江苏 盐城 电信	HTTP,HTTPS代理	5.3	6小时 15分钟 30秒	92	2019年5月28日 01:08
31	高匿代理服务	37.228.65.107:32052	中国 河北 保定 电信	HTTP代理	2.86	192天 15小时 54分钟 29秒	82255	2019年5月28日 01:08
32	高匿代理服务	188.6.197.119:56586	中国 香港  电信CN2骨干网	HTTP,HTTPS代理	5.49	21天 1小时 16分钟 6秒	6066	2019年5月28日 01:08
33	高匿代理服务	89.239.25.218:8080	中国 黑龙江 鸡西 联通	HTTP,HTTPS代理	5.78	178天 12小时 55分钟 34秒	41922	2019年5月28日 01:08
34	高匿代理服务	124.41.211.231:38882	中国 四川 遂宁 电信	HTTP,HTTPS代理	2.2	27天 12小时 16分钟 20秒	4162	2019年5月28日 01:08
35	高匿代理服务	46.99.255.235:8080	中国 台湾 彰化 谷歌	HTTPS代理	3.66	178天 12小时 53分钟 42秒	21447	2019年5月28日 01:08
36	高匿代理服务	91.103.208.114:57063	中国 湖南 长沙 联通	HTTP,HTTPS代理	3.69	178天 12小时 52分钟 58秒	56158	2019年5月28日 01:08
37	高匿代理服务	186.192.17.242:8080	中国 北京 北京 歌华有线	HTTP,HTTPS代理	3.56	92天 7小时 14分钟 41秒	16131	2019年5月28日 01:08
38	高匿代理服务	61.30.201.65:8080	中国 台湾  台灣固網	HTTP,HTTPS代理	4.32	67天 17小时 45分钟 57秒	13774	2019年5月28日 01:08
39	高匿代理服务	103.15.245.26:8080	中国 福建 莆田 联通	HTTP,HTTPS代理	4.05	178天 12小时 53分钟 58秒	60116	2019年5月28日 01:08
40	高匿代理服务	117.191.11.102:80	中国 新疆 伊犁 移动	HTTP代理	3.79	217天 2小时 21分钟 3秒	282945	2019年5月28日 01:08
41	高匿代理服务	37.145.73.119:53823	中国 广东 中山 电信	HTTP,HTTPS代理	3.99	16天 13小时 29分钟 15秒	4455	2019年5月28日 01:08
42	高匿代理服务	186.250.96.1:8080	中国 安徽 淮南 电信	HTTPS代理	6.94	178天 12小时 56分钟 44秒	45112	2019年5月28日 01:07
43	高匿代理服务	183.88.213.85:8080	中国 海南 海口 联通	HTTP,HTTPS代理	5.47	178天 12小时 55分钟 33秒	64406	2019年5月28日 01:07
44	高匿代理服务	61.183.176.122:57210	中国 湖北 武汉 电信	HTTP,HTTPS代理	6.76	178天 12小时 56分钟 41秒	33509	2019年5月28日 01:07
45	高匿代理服务	39.98.94.117:3128	中国 河北 张家口 阿里云	HTTP,HTTPS代理	4.85	13天 9小时 53分钟 15秒	2474	2019年5月28日 01:07
46	高匿代理服务	101.51.106.70:37127	中国 河南 洛阳 移动	HTTPS代理	4.3	18天 14小时 42分钟 45秒	3729	2019年5月28日 01:07
47	高匿代理服务	103.209.65.12:8080	中国 台湾 台东 中華電信	HTTP,HTTPS代理	3.59	102天 14小时 8分钟 1秒	16838	2019年5月28日 01:07
48	高匿代理服务	178.150.84.139:47663	中国 江苏  电信/基站WiFi	HTTP代理	2.98	62天 14小时 0分钟 31秒	5975	2019年5月28日 01:07
49	高匿代理服务	46.241.120.230:47762	中国 江西 萍乡 移动	HTTP,HTTPS代理	2.73	11天 11小时 32分钟 34秒	3123	2019年5月28日 01:07
0	高匿代理服务	46.99.164.193:23500	中国 北京 北京 UCloud/联通	HTTP,HTTPS代理	6.4	27分钟 56秒	16	2019年5月28日 01:07
1	高匿代理服务	181.16.193.6:8080	中国 广西 桂林 移动	HTTP,HTTPS代理	2.89	67天 17小时 15分钟 56秒	9902	2019年5月28日 01:07
2	高匿代理服务	182.52.238.111:30098	中国 香港  安畅	HTTPS代理	3.68	79天 16小时 13分钟 46秒	10519	2019年5月28日 01:07
3	高匿代理服务	5.56.103.45:44093	中国 江苏 无锡 电信/联通	HTTP代理	6.76	11天 20小时 49分钟 52秒	3764	2019年5月28日 01:07
4	高匿代理服务	176.98.75.229:54256	中国 辽宁 营口 联通	HTTP代理	2.65	215天 5小时 20分钟 12秒	213614	2019年5月28日 01:07
5	高匿代理服务	178.213.130.159:52355	中国 湖南 怀化 电信	HTTP代理	1.44	14天 7小时 7分钟 22秒	2661	2019年5月28日 01:07
6	高匿代理服务	194.36.173.57:8888	中国 山西 临汾 联通	HTTP,HTTPS代理	2.4	32天 6小时 29分钟 52秒	6822	2019年5月28日 01:07
7	高匿代理服务	78.108.36.99:8080	中国 辽宁 沈阳 联通	HTTP,HTTPS代理	2.24	4天 19小时 44分钟 49秒	2913	2019年5月28日 01:07
8	高匿代理服务	103.245.19.222:53281	中国 安徽 六安 联通	HTTP,HTTPS代理	4.98	201天 18小时 26分钟 51秒	104165	2019年5月28日 01:07
9	高匿代理服务	167.179.4.104:8080	中国 上海 上海 铁通	HTTP,HTTPS代理	2.35	103天 4小时 56分钟 19秒	24972	2019年5月28日 01:07
10	高匿代理服务	117.191.11.74:8080	中国 新疆 喀什 移动	HTTP代理	0.88	221天 21小时 11分钟 19秒	345461	2019年5月28日 01:07
11	高匿代理服务	217.182.51.226:1080	中国 贵州 贵阳 铁通	HTTP,HTTPS代理	5.03	36天 0小时 15分钟 38秒	12748	2019年5月28日 01:07
12	高匿代理服务	168.181.254.231:8080	中国 香港  阿里云	HTTP,HTTPS代理	4.19	9天 8小时 6分钟 57秒	1988	2019年5月28日 01:07
13	高匿代理服务	185.233.94.105:59288	中国 广西 贺州 联通	HTTP,HTTPS代理	5.95	178天 12小时 56分钟 13秒	54410	2019年5月28日 01:07
14	高匿代理服务	151.106.10.51:1080	中国 甘肃 陇南 移动	HTTP,HTTPS代理	2.54	89天 12小时 9分钟 48秒	49027	2019年5月28日 01:07
15	高匿代理服务	103.194.233.180:8090	中国 云南 临沧 联通	HTTP,HTTPS代理	5.46	177天 16小时 35分钟 38秒	281	2019年5月28日 01:07
16	高匿代理服务	78.57.192.253:60541	中国 台湾  中嘉和網	HTTP,HTTPS代理	4.15	9天 14小时 46分钟 22秒	1860	2019年5月28日 01:07
17	高匿代理服务	203.215.48.69:41665	中国 河北 张家口 联通	HTTP,HTTPS代理	6.09	223天 7小时 13分钟 55秒	170928	2019年5月28日 01:07
18	高匿代理服务	125.27.251.24:36048	中国 香港  台灣固網	HTTP,HTTPS代理	4.62	82天 16小时 16分钟 23秒	14479	2019年5月28日 01:07
19	高匿代理服务	189.196.168.78:30880	中国 山西 晋城 联通	HTTP代理	4.31	167天 15小时 11分钟 28秒	59433	2019年5月28日 01:07
20	高匿代理服务	95.83.156.250:58438	中国 云南 昆明 电信	HTTP代理	4.91	178天 12小时 56分钟 0秒	53777	2019年5月28日 01:07
21	高匿代理服务	93.177.0.186:3128	中国 山东 东营 联通	HTTP,HTTPS代理	3.54	4天 4小时 31分钟 23秒	1169	2019年5月28日 01:07
22	高匿代理服务	93.179.209.216:57520	中国 内蒙古 包头 电信	HTTP代理	3.65	178天 12小时 53分钟 47秒	52586	2019年5月28日 01:07
23	高匿代理服务	77.39.7.153:38264	中国 上海 上海 金山云/电信	HTTP,HTTPS代理	2.64	101天 2小时 59分钟 53秒	25242	2019年5月28日 01:07
24	高匿代理服务	151.22.181.222:8080	中国 广东 深圳 鹏博士	HTTP,HTTPS代理	3.9	4天 17小时 42分钟 11秒	2287	2019年5月28日 01:07
25	高匿代理服务	46.99.164.21:23500	中国 山西 吕梁 联通	HTTP,HTTPS代理	2.46	27分钟 44秒	18	2019年5月28日 01:07
26	高匿代理服务	46.0.126.134:3128	中国 福建 龙岩 联通	HTTP代理	2.75	136天 2小时 28分钟 58秒	23979	2019年5月28日 01:07
